SOURCE       RA[deg]   DEC[deg]      DM      period[s]
#B0329+54   53.51337  54.6248916    26.833  0.71453 #20140519T19 0.7144421051744818
B0329+54   53.51337  54.6248916    26.833  0.71446446488#0.714460967714#0.7144482701259646 #20140822T
B1133+16   174.01353 15.85124      4.8451  1.187913065936
B1508+55   227.35679 55.52566      129.8   0.739681922904
B2111+46   318.35128 46.73575	   141.26  1.014684793189
B0531+21   83.63322  22.01446	   56.791  0.03308471603
B0950+08   148.2887  7.926597	   2.96    0.2530651649482
B1929+10   293.0581  10.99234      3.176   0.2265176  
B1642-03   251.2585  -3.2993       35.665  0.38768879
noisesrc   0.0	     0.0	   0.0	   1.000000000
